,level_0,Unnamed: 0,index,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,original_index,date,screen_name,tweet,tweet_id,cashtag,hashtag,primary_cashtag,year,month,tokens,Polarity,weekday,date_only,stock_price_change
0,28,28,23873,23873,23873,23873,1.0,2020-10-30 22:08:23,AlexDelarge6553,Of cource I am!! I like winners!! Sports players if you like 70% winners follow this guy!! No one wins the all! except $spom lol https://t.co/gBQY0vyiv7,1.322299336542294e+18,['$spom'],[],SPOM,2020,10,"['cource', 'like', 'winners', 'sports', 'players', 'like', 'winners', 'follow', 'guy', 'wins', 'lol']",0.5875,4,2020-10-30,0.3514
1,29,29,23874,23874,23874,23874,4.0,2020-10-30 21:46:12,AlexDelarge6553,@FatouOli @mjm8686 $spom week was adjusted to the week before earnings. $spom will hit highs,1.3222937542298583e+18,"['$spom', '$spom']",[],SPOM,2020,10,"['week', 'adjusted', 'week', 'earnings', 'hit', 'highs']",0.0,4,2020-10-30,0.3514
2,30,30,23875,23875,23875,23875,5.0,2020-10-30 20:19:38,AlexDelarge6553,Monday list!! 1 $spom $spom week!2 $cbbt always green3 $enzc monster potential4 $cyio covid5 $egyf hidden gem6 $fles news7 $halb medical8 $adgs education9 $rbii covid10 $sbes cheap monster potentialParty planning for next week!!Thanks for following! https://t.co/CHg078oELX,1.3222719671526892e+18,"['$spom', '$spom', '$cbbt', '$enzc', '$cyio', '$egyf', '$fles', '$halb', '$adgs', '$rbii', '$sbes']",[],SPOM,2020,10,"['monday', 'list', 'week', 'green', 'monster', 'potential', 'covid', 'hidden', 'gem', 'news', 'medical', 'education', 'covid', 'cheap', 'monster', 'potentialparty', 'planning', 'week', 'thanks', 'following']",0.05833333333333333,4,2020-10-30,0.3514
3,31,31,23876,23876,23876,23876,7.0,2020-10-30 23:53:04,AlexDelarge6553,@realDonaldTrump My Man!! Go $spom,1.3223256810537738e+18,['$spom'],[],SPOM,2020,10,['man'],0.0,4,2020-10-30,0.3514
4,32,32,23877,23877,23877,23877,8.0,2020-10-30 21:16:53,AlexDelarge6553,Hope you didnt sell $spom https://t.co/DQKR0OoICk,1.3222863745407713e+18,['$spom'],[],SPOM,2020,10,"['hope', 'didnt', 'sell']",0.0,4,2020-10-30,0.3514
5,33,33,23878,23878,23878,23878,27.0,2020-10-30 21:28:21,AlexDelarge6553,$spom i got balls! https://t.co/dGflY6x7TX,1.3222892610481152e+18,['$spom'],[],SPOM,2020,10,"['got', 'balls']",0.0,4,2020-10-30,0.3514
6,34,34,23879,23879,23879,23879,28.0,2020-10-30 21:52:32,AlexDelarge6553,@andycmeyersgma1 @RichD76656085 I've made more on $spom than any other OTC buy low Sell the rips!! today wasn't a rip!,1.3222953468154716e+18,['$spom'],[],SPOM,2020,10,"['otc', 'buy', 'low', 'sell', 'rips', 'today', 'wasn', 'rip']",0.125,4,2020-10-30,0.3514
7,35,35,23880,23880,23880,23880,30.0,2020-10-30 20:43:55,AlexDelarge6553,Earnings!! November 16th $spom will make history https://t.co/2i3qHPihbT,1.3222780802541937e+18,['$spom'],[],SPOM,2020,10,"['earnings', 'november', 'history']",0.0,4,2020-10-30,0.3514
8,36,36,23881,23881,23881,23881,39.0,2020-10-30 22:10:34,AlexDelarge6553,$spom Bananas is back!! We all follow $spom ers https://t.co/9f6m4OFZw9,1.3222998847084667e+18,"['$spom', '$spom']",[],SPOM,2020,10,"['bananas', 'follow', 'ers']",0.0,4,2020-10-30,0.3514
9,37,37,23884,23884,23884,23884,0.0,2020-10-30 19:56:08,AlexDelarge6553,THIS ISNT $SPOM WEEK YET! https://t.co/m9gW9GJh76,1.3222660529784955e+18,['$SPOM'],[],SPOM,2020,10,"['isnt', 'week']",0.0,4,2020-10-30,0.3514
10,38,38,23885,23885,23885,23885,1.0,2020-10-30 19:05:22,AlexDelarge6553,$spom .14 !! https://t.co/6yOTGVIVJ1,1.322253278109946e+18,['$spom'],[],SPOM,2020,10,[],0.0,4,2020-10-30,0.3514
11,39,39,23886,23886,23886,23886,2.0,2020-10-30 18:24:23,AlexDelarge6553,97 minutes! to add $spom! https://t.co/Z66d97ye1M,1.3222429628735283e+18,['$spom'],[],SPOM,2020,10,"['minutes', 'add']",0.0,4,2020-10-30,0.3514
12,40,40,23887,23887,23887,23887,3.0,2020-10-30 19:30:52,AlexDelarge6553,@DavidLawton9 5 6 7 8 9 all buys $spom,1.3222596962674688e+18,['$spom'],[],SPOM,2020,10,['buys'],0.0,4,2020-10-30,0.3514
13,41,41,23888,23888,23888,23888,4.0,2020-10-30 19:33:57,AlexDelarge6553,No drugs in the OTC!! $SPOM IS A BUY!!! https://t.co/2REgbLSKV3,1.3222604733671424e+18,['$SPOM'],[],SPOM,2020,10,"['drugs', 'otc', 'buy']",0.0,4,2020-10-30,0.3514
14,42,42,23889,23889,23889,23889,5.0,2020-10-30 20:04:58,AlexDelarge6553,The happiest Red day ever! Go $spom how did you do I hope $spom green for all!,1.3222682766516265e+18,"['$spom', '$spom']",[],SPOM,2020,10,"['happiest', 'red', 'day', 'hope', 'green']",-0.125,4,2020-10-30,0.3514
15,43,43,23890,23890,23890,23890,6.0,2020-10-30 19:23:33,AlexDelarge6553,Look at the punk!! $spom Who said today was the day? https://t.co/kEBuC9INE9,1.3222578531309363e+18,['$spom'],[],SPOM,2020,10,"['look', 'punk', 'said', 'today', 'day']",0.0,4,2020-10-30,0.3514
16,44,44,23891,23891,23891,23891,7.0,2020-10-30 18:57:12,AlexDelarge6553,I hope you have plans to buy $spom end of day! You see the climb! earning November 16th 10 million profits assets I wanna see the growth! New hospitals Stoke treatments patents!! Do you DD. Its easy! https://t.co/Vnyb8KIn82,1.3222512213952184e+18,['$spom'],[],SPOM,2020,10,"['hope', 'plans', 'buy', 'end', 'day', 'climb', 'earning', 'november', 'million', 'profits', 'assets', 'wan', 'na', 'growth', 'new', 'hospitals', 'stoke', 'treatments', 'patents', 'easy']",0.37736742424242425,4,2020-10-30,0.3514
17,45,45,23892,23892,23892,23892,9.0,2020-10-30 19:09:14,AlexDelarge6553,@Shauna92118487 @NotarTodd you don't bite!! wtf! go $spom!! https://t.co/J4ESLfrfeq,1.3222542513310802e+18,['$spom'],[],SPOM,2020,10,"['bite', 'wtf']",-0.9765625,4,2020-10-30,0.3514
18,46,46,23893,23893,23893,23893,12.0,2020-10-30 17:56:44,AlexDelarge6553,Sell your crap! buy $spom double your money in a week ! 14% green Thursday 22% now! 10 % Monday 5 % Tuesday 50% green Wednesday!! Book it! https://t.co/WD29guXPXn,1.3222360062135214e+18,['$spom'],[],SPOM,2020,10,"['sell', 'crap', 'buy', 'double', 'money', 'week', 'green', 'thursday', 'monday', 'tuesday', 'green', 'wednesday', 'book']",-0.41015625,4,2020-10-30,0.3514
19,47,47,23894,23894,23894,23894,13.0,2020-10-30 18:00:05,AlexDelarge6553,$spom ers send your favorite gif!! Only $spom ers https://t.co/qWmbgD5LrJ,1.32223684892894e+18,"['$spom', '$spom']",[],SPOM,2020,10,"['ers', 'send', 'favorite', 'gif', 'ers']",0.390625,4,2020-10-30,0.3514
